COG count
COG2838 14
COG1381 14
COG4764 12
COG1875 8
COG0217 41
COG1177 24
COG1267 11
COG3836 16
COG1592 9
COG2154 26
COG1216 62
COG1722 2
COG1475 44
COG0610 19
COG4805 17
COG0549 5
COG2115 15
COG2113 15
COG0801 27
COG1112 11
COG0848 18
COG0575 41
COG4733 12
COG5193 6
COG0742 27
COG3411 5
COG3669 1
COG0789 25
COG0846 19
COG1594 6
COG1477 7
COG0163 3
COG1268 16
COG0614 18
COG4567 24
COG3103 0
COG0017 23
COG0861 26
COG1404 15
COG1748 16
COG2363 3
COG1296 7
COG3712 1
COG4401 14
COG2071 13
COG0775 6
COG4221 57
COG2501 8
COG2271 34
COG2884 15
COG0262 11
COG3705 14
COG3962 38
COG0043 13
COG0360 31
COG5140 6
COG5273 6
COG0631 10
COG1377 5
COG4889 9
COG5078 6
COG2332 19
COG4932 3
COG1347 11
COG0562 11
COG4585 5
COG2010 16
COG0695 33
COG1862 10
COG0771 55
COG2605 8
COG1691 18
COG4995 17
COG4143 11
COG1156 10
COG4398 0
COG1222 15
COG0200 32
COG2020 14
COG1220 67
COG1180 3
COG0605 24
COG3605 6
COG2988 16
COG1465 3
COG0270 42
COG2962 24
COG0584 23
COG3823 6
COG0447 60
COG1271 9
COG1999 8
COG4799 99
COG4670 8
COG0859 37
COG1466 17
COG1258 6
COG1899 26
COG1163 6
COG4867 6
COG3959 20
COG0251 68
COG5477 6
COG1749 14
COG1038 57
COG0619 21
COG0832 16
COG1765 15
COG1350 12
COG0760 25
COG1536 8
COG3558 1
COG2603 19
COG2057 13
COG3977 6
COG0759 26
COG2376 14
COG1172 29
COG0632 13
COG2025 56
COG4783 53
COG0076 22
COG3022 19
COG1435 26
COG1528 8
COG2041 18
COG2364 15
COG1947 36
COG1560 11
COG2935 9
COG1269 5
COG3001 24
COG0279 20
COG1295 9
COG2342 6
COG1393 19
COG4360 11
COG4618 1
COG4241 15
COG3956 51
COG1025 13
COG1385 33
COG4987 11
COG2401 6
COG3525 7
COG1309 27
COG1176 37
COG1382 6
COG1575 21
COG2414 6
COG1478 3
COG3769 14
COG0456 78
COG5301 2
COG1213 4
COG2516 6
COG2766 5
COG2009 9
COG3964 4
COG1189 63
COG4608 34
COG4930 6
COG3181 17
COG3440 3
COG2327 3
COG2049 9
COG4928 0
COG0543 5
COG1329 13
COG0368 8
COG0303 31
COG1744 28
COG5387 2
COG1507 2
COG5184 16
COG5210 6
COG0432 27
COG3407 0
COG2355 20
COG4577 7
COG3409 4
COG4327 4
COG0230 1
COG1982 19
COG2859 6
COG4421 6
COG2244 1
COG4239 7
COG3752 12
COG2850 2
COG1912 4
COG1279 8
COG3173 22
COG0354 26
COG3339 10
COG1574 14
COG1322 20
COG0145 29
COG2272 14
COG1672 2
COG3216 14
COG0355 22
COG1167 12
COG0560 16
COG3639 12
COG2095 2
COG3232 1
COG1694 10
COG3773 8
COG1006 4
COG1648 1
COG1963 21
COG2853 18
COG2373 7
COG0255 11
COG1232 14
COG5605 6
COG4235 4
COG3145 1
COG0344 34
COG3485 12
COG1690 4
COG1183 20
COG0638 6
COG1401 2
COG3727 6
COG0531 13
COG2259 7
COG3786 8
COG3970 8
COG2951 23
COG1188 3
COG1917 8
COG0160 34
COG3536 1
COG3378 5
COG3276 11
COG0721 18
COG0425 8
COG3419 1
COG3686 6
COG3749 1
COG1975 12
COG5587 2
COG2941 17
COG1823 5
COG2125 6
COG4784 8
COG1312 6
COG3476 5
COG4188 7
COG0455 6
COG0784 1
COG4252 20
COG3195 13
COG0700 1
COG2511 6
COG5271 0
COG3604 6
COG0340 28
COG3854 3
COG5245 6
COG1503 6
COG1331 27
COG1687 1
COG3265 1
COG1820 5
COG0732 13
COG2131 6
COG1527 1
COG0241 10
COG0199 31
COG1767 2
COG3971 1
COG5525 4
COG3176 9
COG1928 1
COG3502 3
COG3820 17
COG2195 8
COG1525 17
COG3004 25
COG1333 24
COG0412 9
COG0786 20
COG1835 10
COG0798 3
COG5352 11
COG1146 13
COG3104 14
COG1291 13
COG2833 1
COG0227 30
COG1122 44
COG3194 6
COG0797 8
COG5368 1
COG0120 48
COG5178 6
COG3556 18
COG1436 3
COG2127 23
COG1521 22
COG0643 6
COG0655 5
COG1124 3
COG1733 1
COG4454 5
COG5256 6
COG3448 8
COG2869 5
COG4583 2
COG2867 10
COG2193 14
COG1013 2
COG1467 6
COG1735 6
COG0170 6
COG0380 8
COG2015 9
COG0636 15
COG2876 7
COG2241 6
COG4088 6
COG3564 6
COG3211 6
COG2122 6
COG1512 8
COG3706 8
COG5147 6
COG0738 3
COG3315 0
COG4635 3
COG0295 5
COG1994 14
COG0580 17
COG0474 29
COG0693 2
COG5662 1
COG4372 8
COG2986 10
COG1933 6
COG2258 4
COG4227 3
COG1495 4
COG4391 2
COG1277 7
COG2037 6
COG1297 6
COG0062 7
COG1815 2
COG1644 6
COG4145 1
COG5360 9
COG3563 5
COG1139 1
COG1533 7
COG2423 5
COG1701 6
COG5465 2
COG3450 12
COG3268 10
COG3090 6
COG1693 6
COG3734 2
COG1554 7
COG4959 6
COG4149 3
COG3869 1
COG1678 6
